2.68 , 408.13
2.69 , 371.34
2.70 , 334.23
2.71 , 296.83
2.72 , 259.15
2.73 , 221.24
2.74 , 183.12
2.75 , 144.83
2.76 , 106.38
2.77 , 67.83
2.78 , 29.18
2.79 , -9.51
2.80 , -48.24
2.81 , -86.95
2.82 , -125.62
2.83 , -164.23
2.84 , -202.73
2.85 , -241.11
2.86 , -279.32
2.87 , -317.34
2.88 , -355.13
2.89 , -392.67
2.90 , -429.93
2.91 , -466.87
2.92 , -503.47
2.93 , -539.69
2.94 , -575.52
2.95 , -610.91
2.96 , -645.84
2.97 , -680.28
2.98 , -714.20
2.99 , -747.58
3.00 , -780.39
3.01 , -812.60
3.02 , -844.19
3.03 , -875.13
3.04 , -905.39
3.05 , -934.95
3.06 , -963.79
3.07 , -991.88
3.08 , -1019.19
3.09 , -1045.72
3.10 , -1071.43
3.11 , -1096.30
3.12 , -1120.32
3.13 , -1143.45
3.14 , -1165.70
3.15 , -1187.02
3.16 , -1207.42
3.17 , -1226.86
3.18 , -1245.34
3.19 , -1262.84
3.20 , -1279.34
3.21 , -1294.83
3.22 , -1309.30
3.23 , -1322.73
3.24 , -1335.12
3.25 , -1346.44
3.26 , -1356.70
3.27 , -1365.88
3.28 , -1373.98
3.29 , -1380.98
3.30 , -1386.89
3.31 , -1391.68
3.32 , -1395.37
3.33 , -1397.95
3.34 , -1399.41
3.35 , -1399.75
3.36 , -1398.97
3.37 , -1397.07
3.38 , -1394.06
3.39 , -1389.92
3.40 , -1384.67
3.41 , -1378.31
3.42 , -1370.84
3.43 , -1362.27
3.44 , -1352.60
3.45 , -1341.84
3.46 , -1330.00
3.47 , -1317.09
3.48 , -1303.11
3.49 , -1288.08
3.50 , -1272.00
3.51 , -1254.90
3.52 , -1236.77
3.53 , -1217.65
3.54 , -1197.53
3.55 , -1176.44
3.56 , -1154.39
3.57 , -1131.40
3.58 , -1107.49
3.59 , -1082.67
3.60 , -1056.97
3.61 , -1030.40
3.62 , -1002.98
3.63 , -974.74
3.64 , -945.70
3.65 , -915.88
3.66 , -885.30
3.67 , -853.99
3.68 , -821.97
3.69 , -789.27
3.70 , -755.91
3.71 , -721.92
3.72 , -687.32
3.73 , -652.15
3.74 , -616.42
3.75 , -580.18
3.76 , -543.44
3.77 , -506.23
3.78 , -468.60
3.79 , -430.55
3.80 , -392.14
3.81 , -353.38
3.82 , -314.30
3.83 , -274.94
3.84 , -235.33
3.85 , -195.50
3.86 , -155.48
3.87 , -115.31
3.88 , -75.01
3.89 , -34.62
3.90 , 5.83
3.91 , 46.31
3.92 , 86.78
3.93 , 127.22
3.94 , 167.59
3.95 , 207.85
3.96 , 247.99
3.97 , 287.95
3.98 , 327.72
3.99 , 367.26
4.00 , 406.53
4.01 , 445.51
4.02 , 484.17
4.03 , 522.47
4.04 , 560.38
4.05 , 597.87
4.06 , 634.92
4.07 , 671.48
4.08 , 707.54
4.09 , 743.06
4.10 , 778.02
4.11 , 812.38
4.12 , 846.12
4.13 , 879.21
4.14 , 911.62
4.15 , 943.33
4.16 , 974.31
4.17 , 1004.54
4.18 , 1033.98
4.19 , 1062.62
4.20 , 1090.44
4.21 , 1117.40
4.22 , 1143.50
4.23 , 1168.69
4.24 , 1192.98
4.25 , 1216.33
4.26 , 1238.72
4.27 , 1260.14
4.28 , 1280.57
4.29 , 1299.99
4.30 , 1318.39
4.31 , 1335.75
4.32 , 1352.05
4.33 , 1367.29
4.34 , 1381.44
4.35 , 1394.50
4.36 , 1406.45
4.37 , 1417.29
4.38 , 1427.00
4.39 , 1435.58
4.40 , 1443.02
4.41 , 1449.31
4.42 , 1454.44
4.43 , 1458.42
4.44 , 1461.23
4.45 , 1462.88
4.46 , 1463.35
4.47 , 1462.66
4.48 , 1460.79
4.49 , 1457.76
4.50 , 1453.55
4.51 , 1448.18
4.52 , 1441.65
4.53 , 1433.96
4.54 , 1425.11
4.55 , 1415.12
4.56 , 1403.99
4.57 , 1391.73
4.58 , 1378.34
4.59 , 1363.84
4.60 , 1348.23
4.61 , 1331.54
4.62 , 1313.77
4.63 , 1294.93
4.64 , 1275.04
4.65 , 1254.11
4.66 , 1232.17
4.67 , 1209.22
4.68 , 1185.29
4.69 , 1160.38
4.70 , 1134.53
4.71 , 1107.76
4.72 , 1080.07
4.73 , 1051.50
4.74 , 1022.06
4.75 , 991.79
4.76 , 960.69
4.77 , 928.80
4.78 , 896.15
4.79 , 862.75
4.80 , 828.63
4.81 , 793.82
4.82 , 758.35
4.83 , 722.25
4.84 , 685.53
4.85 , 648.25
4.86 , 610.41
4.87 , 572.05
4.88 , 533.21
4.89 , 493.90
4.90 , 454.17
4.91 , 414.05
4.92 , 373.56
4.93 , 332.74
4.94 , 291.63
4.95 , 250.24
4.96 , 208.63
4.97 , 166.81
4.98 , 124.82
4.99 , 82.71
5.00 , 40.49
5.01 , -1.79
5.02 , -44.11
5.03 , -86.42
5.04 , -128.70
5.05 , -170.91
5.06 , -213.02
5.07 , -254.99
5.08 , -296.79
5.09 , -338.39
5.10 , -379.75
5.11 , -420.83
5.12 , -461.62
5.13 , -502.07
5.14 , -542.14
5.15 , -581.82
5.16 , -621.06
5.17 , -659.84
5.18 , -698.12
5.19 , -735.87
5.20 , -773.07
5.21 , -809.67
5.22 , -845.66
5.23 , -881.00
5.24 , -915.66
5.25 , -949.62
5.26 , -982.85
5.27 , -1015.31
5.28 , -1046.99
5.29 , -1077.86
5.30 , -1107.89
5.31 , -1137.05
5.32 , -1165.34
5.33 , -1192.71
5.34 , -1219.15
5.35 , -1244.63
5.36 , -1269.14
5.37 , -1292.65
5.38 , -1315.15
5.39 , -1336.62
5.40 , -1357.03
5.41 , -1376.37
5.42 , -1394.63
5.43 , -1411.79
5.44 , -1427.83
5.45 , -1442.74
5.46 , -1456.51
5.47 , -1469.12
5.48 , -1480.57
5.49 , -1490.85
5.50 , -1499.93
5.51 , -1507.83
5.52 , -1514.53
5.53 , -1520.02
5.54 , -1524.30
5.55 , -1527.36
5.56 , -1529.21
5.57 , -1529.83
5.58 , -1529.23
5.59 , -1527.40
5.60 , -1524.35
5.61 , -1520.08
5.62 , -1514.59
5.63 , -1507.89
5.64 , -1499.97
5.65 , -1490.84
5.66 , -1480.52
5.67 , -1469.00
5.68 , -1456.30
5.69 , -1442.42
5.70 , -1427.38
5.71 , -1411.19
5.72 , -1393.85
5.73 , -1375.38
5.74 , -1355.80
5.75 , -1335.12
5.76 , -1313.35
5.77 , -1290.52
5.78 , -1266.64
5.79 , -1241.72
5.80 , -1215.79
5.81 , -1188.86
5.82 , -1160.97
5.83 , -1132.12
5.84 , -1102.34
5.85 , -1071.66
5.86 , -1040.09
5.87 , -1007.67
5.88 , -974.42
5.89 , -940.36
5.90 , -905.52
5.91 , -869.93
5.92 , -833.61
5.93 , -796.60
5.94 , -758.92
5.95 , -720.61
5.96 , -681.68
5.97 , -642.18
5.98 , -602.14
5.99 , -561.58
6.00 , -520.54
6.01 , -479.05
6.02 , -437.14
6.03 , -394.85
6.04 , -352.21
6.05 , -309.26
6.06 , -266.02
6.07 , -222.54
6.08 , -178.84
6.09 , -134.96
6.10 , -90.95
6.11 , -46.82
6.12 , -2.62
6.13 , 41.61
6.14 , 85.85
6.15 , 130.06
6.16 , 174.20
6.17 , 218.23
6.18 , 262.12
6.19 , 305.84
6.20 , 349.35
6.21 , 392.61
6.22 , 435.60
6.23 , 478.27
6.24 , 520.59
6.25 , 562.53
6.26 , 604.05
6.27 , 645.13
6.28 , 685.71
6.29 , 725.79
6.30 , 765.31
6.31 , 804.26
6.32 , 842.59
6.33 , 880.28
6.34 , 917.29
6.35 , 953.60
6.36 , 989.18
6.37 , 1023.99
6.38 , 1058.02
6.39 , 1091.22
6.40 , 1123.58
6.41 , 1155.06
6.42 , 1185.65
6.43 , 1215.31
6.44 , 1244.02
6.45 , 1271.76
6.46 , 1298.50
6.47 , 1324.23
6.48 , 1348.92
6.49 , 1372.55
6.50 , 1395.10
6.51 , 1416.55
6.52 , 1436.89
6.53 , 1456.09
6.54 , 1474.14
6.55 , 1491.03
6.56 , 1506.74
6.57 , 1521.26
6.58 , 1534.57
6.59 , 1546.66
6.60 , 1557.53
6.61 , 1567.16
6.62 , 1575.54
6.63 , 1582.67
6.64 , 1588.54
6.65 , 1593.14
6.66 , 1596.47
